เขต,เครือข่าย,ประเภท,รหัสหน่วยบริการ,ชื่อหน่วยบริการ,วัคซีน,Measure Names,Measure Values
เขต 7 ขอนแก่น,10709,ลูกข่าย,22776,สถานพยาบาลเรือนจำจังหวัดกาฬสินธุ์,V12:ฉีดวัคซีนป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(กลุ่มพิเศษ),เป้าหมาย(รายหน่วย),4560
เขต 7 ขอนแก่น,10709,ลูกข่าย,22776,สถานพยาบาลเรือนจำจังหวัดกาฬสินธุ์,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,22776,สถานพยาบาลเรือนจำจังหวัดกาฬสินธุ์,V12:ฉีดวัคซีนป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(กลุ่มพิเศษ),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,22776,สถานพยาบาลเรือนจำจังหวัดกาฬสินธุ์,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,24743,ศูนย์บริการสาธารณสุขเทศบาลเมืองกาฬสินธุแห่งที่ 2 (ดงปอ),V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,198
เขต 7 ขอนแก่น,10709,ลูกข่าย,24743,ศูนย์บริการสาธารณสุขเทศบาลเมืองกาฬสินธุแห่งที่ 2 (ดงปอ),V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),400
เขต 7 ขอนแก่น,10709,ลูกข่าย,24743,ศูนย์บริการสาธารณสุขเทศบาลเมืองกาฬสินธุแห่งที่ 2 (ดงปอ),V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
เขต 7 ขอนแก่น,10709,ลูกข่าย,77738,ศสช.เมืองโรงพยาบาลกาฬสินธุ์,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),ฉีด,479
เขต 7 ขอนแก่น,10709,ลูกข่าย,77738,ศสช.เมืองโรงพยาบาลกาฬสินธุ์,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(รายหน่วย),1000
เขต 7 ขอนแก่น,10709,ลูกข่าย,77738,ศสช.เมืองโรงพยาบาลกาฬสินธุ์,V11:ฉีดวัคซีนป้องกันโรคป้องกันโรคไข้หวัดใหญ่ตามฤดูกาล(7กลุ่มเสี่ยง),เป้าหมาย(ทั้งหมด),0
